Store Name,Primary Category Name,Secondary Category Name,Leaf Category Name,Product ID,Creation Date,Product Name,Product URL,SKU,Attribute Set,Visibility,Status(enable/disable)
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Vinyl Banners,https://www.bannerbuzz.com/custom-vinyl-banners/p,BBVBCB00,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Vinyl Banners,https://www.bannerbuzz.com.au/custom-vinyl-banners/p,BBVBCB00,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Vinyl Banners,https://www.bannerbuzz.co.uk/custom-vinyl-banners/p,BBVBCB00,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Vinyl Banners,https://www.bannerbuzz.ca/custom-vinyl-banners/p,BBVBCB00,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Vinyl Banners,https://www.bannerbuzz.co.nz/custom-vinyl-banners/p,BBVBCB00,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,400",17-02-2019 08:31,Custom Banners,https://www.bestofsigns.com/custom-banners.html,BBVBCB00,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bannerbuzz.com/indoor-banners/p,BBVBCB01,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bannerbuzz.com.au/indoor-banners/p,BBVBCB01,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bannerbuzz.co.uk/indoor-banners/p,BBVBCB01,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bannerbuzz.ca/indoor-banners/p,BBVBCB01,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bannerbuzz.co.nz/indoor-banners/p,BBVBCB01,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,401",17-02-2019 08:31,Indoor Banners,https://www.bestofsigns.com/indoor-banners.html,BBVBCB01,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bannerbuzz.com/outdoor-banners/p,BBRMOB01,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bannerbuzz.com.au/outdoor-banners/p,BBRMOB01,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bannerbuzz.co.uk/outdoor-banners/p,BBRMOB01,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bannerbuzz.ca/outdoor-banners/p,BBRMOB01,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bannerbuzz.co.nz/outdoor-banners/p,BBRMOB01,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,402",17-02-2019 08:31,Outdoor Banners,https://www.bestofsigns.com/outdoor-banners.html,BBRMOB01,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bannerbuzz.com/promotional-banners/p,BBVBBB01,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bannerbuzz.com.au/promotional-banners/p,BBVBBB01,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bannerbuzz.co.uk/promotional-banners/p,BBVBBB01,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bannerbuzz.ca/promotional-banners/p,BBVBBB01,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bannerbuzz.co.nz/promotional-banners/p,BBVBBB01,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,403",17-02-2019 08:31,Promotional Banners,https://www.bestofsigns.com/promotional-banners.html,BBVBBB01,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Real Estate Banners,https://www.bannerbuzz.com/real-estate-banners/p,BBVBBB07,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Real Estate Banners,https://www.bannerbuzz.com.au/real-estate-banners/p,BBVBBB07,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Property Banners,https://www.bannerbuzz.co.uk/real-estate-banners/p,BBVBBB07,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Real Estate Banners,https://www.bannerbuzz.ca/real-estate-banners/p,BBVBBB07,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Real Estate Banners,https://www.bannerbuzz.co.nz/real-estate-banners/p,BBVBBB07,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,404",17-02-2019 08:31,Real Estate Banners,https://www.bestofsigns.com/real-estate-banners.html,BBVBBB07,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,405",17-02-2019 08:31,Trade Show Banners,https://www.bannerbuzz.com/trade-show-banners/p,BBVBBB02,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,405",17-02-2019 08:31,Trade Show Banners,https://www.bannerbuzz.com.au/trade-show-banners/p,BBVBBB02,Default,"Catalog, Search",Enable
